주제,내용,길이
아이브의 비주얼1,"자타공인 전원 센터급 비주얼로 유명하다. 스타쉽엔터테인먼트가 처음부터 비주얼을 내세운 그룹이었던 만큼 평균 비주얼이 상당히 뛰어나며, 각양각색의 개성 있는 외모로 데뷔 전부터 많은 주목을 받아왔었다.
장원영과 안유진은 각각 대표적인 아이돌상, 배우상으로 그룹의 메인 비주얼 라인으로 꼽히고 있다. 이서는 나이가 어림에도 무시무시한 비주얼 포텐을 가지고 있으며 이미 장원영, 안유진과 비주얼 3대장으로 평가받고 있다. 레이는 귀여우면서도 세련된 외모로 덕후몰이를 하고 있으며 가을과 리즈를 최고의 비주얼로 생각하는 사람도 적지 않다.",297
아이브의 비주얼2,"아이돌 걸그룹 중에서 장신으로 유명한 장원영, 안유진이 소속된 그룹답게 키가 크기로 유명한 그룹이다. 평균 신장 169.2cm로, 멤버 모두 키가 크고 비율이 훌륭해 키다리돌이라고 불린다. (안유진 173cm, 장원영 173cm, 리즈 170cm, 레이 169cm, 이서 166cm, 가을 164cm.)
멤버 전원이 목을 포함한 얼굴에 점이 있는데, 이 점이 매력 포인트라고 한다.",213
아이브의 인기1,"스타쉽엔터테인먼트 창립 이래 최고의 성적을 기록하고 있는 가수이자[5] 4세대 아이돌 중 가장 앞서나가는 선두 주자 중 하나인 그룹으로, 약간의 침체기가 있었던 여자 아이돌 시장의 부흥을 가져온 걸그룹으로 꼽힌다. 또한, 데뷔 후 발표한 3개의 싱글 모두 크게 성공을 거두면서 스타쉽뿐만 아니라 K-POP 걸그룹 역사에서 강력한 임팩트를 보여 준 그룹으로 자리매김하였다.[6]
2022년 11월 26일 멜론 뮤직 어워드, 11월 30일 마마 어워즈, 12월 13일 아시아 아티스트 어워즈에서 모두 신인상과 올해의 노래부문 대상을 수상하면서 2NE1, 미쓰에이, aespa에 이어 대상과 신인상을 동시에 수상한 팀이자 한 해에 3개의 시상식에서 신인상과 대상을 동시 수상한 최초의 아티스트가 되었다.[7] 또한, 2023년 1월 7일에 열린 제37회 골든디스크어워즈에서 신인상과 디지털 음원 부문 대상을 수상하면서 골든디스크어워즈 역사상 최초이자 유일하게 신인상과 대상을 동시에 수상한 아티스트가 되었다.",505
아이브의 인기2,"데뷔 싱글 《ELEVEN》은 초동 15만장 돌파, 음악 방송 13관왕, 유튜브 조회수 1억 돌파 등의 데뷔곡임에도 굉장히 좋은 성적을 거뒀다.
데뷔 후 7일 만에 쇼챔피언에서 1위를 하여 역대 걸그룹 최단 기간 1위의 기록을 보유하고 있으며[8], 역대 걸그룹 역사상 최초로 데뷔 곡으로 음악 방송 1위를 13관왕 이상을 차지한 전무후무한 신기록 또한 보유하고 있다.
두 번째 싱글 《LOVE DIVE》는 초동 30만장 돌파, 음악 방송 10관왕, 2022년 멜론 연간차트 1위[9], 6월 멜론 월간차트 1위, 4세대 아이돌 최초 멜론 월간 1위 달성, 스포티파이 글로벌차트 TOP 50 안에 드는 등 최고의 성적을 거두는 등 2022년 가장 성공한 싱글 중 하나로 평가받고 있다. 1년이 지난 현재 2023년에도 음원, 음반, 유튜브 모든 면에서 꾸준히 높은 순위를 유지하고 있으며, 미국 빌보드 글로벌 차트 15위까지 달성하였다.[10]",471
아이브의 인기3,"두 번째 싱글 《LOVE DIVE》와 동명의 타이틀곡 <LOVE DIVE>로 4월 29일 기준 뮤직뱅크 3주 연속 1위 트리플 크라운을 수상하였고, # 7월 3일 기준 SBS 인기가요에서도 트리플 크라운을 수상하였다. 특히 마지막 주인 15주차에는 단 3점 차이로 박빙의 승부 끝에 1위를 수상하였다.
세 번째 싱글 《After LIKE》는 Spotify 글로벌 차트 23위, 미국 차트 82위에 올랐다. 이는 수치상 한국 걸그룹 중 두 번째이다.[11] 또한 9월 12일 오후 12시에 전 음원 사이트 실시간 및 일간 1위 달성에 성공하며 PAK(Perfect All-Kill)를 달성하였다.[12]",336
아이브의 인기4,"세 번째 싱글 《After LIKE》는 초동 92만장을 기록, 전작 《LOVE DIVE》의 3배에 근접하는 초동 판매량을 기록하며 역대 한국 걸그룹 초동 판매량 2위에 등극했고, 앨범 판매 11일차인 9월 1일에 판매량 100만장을 돌파하면서 한국 걸그룹 역사상 세번째로 밀리언셀러를 기록한 그룹이 되었다.
역대 걸그룹 공동 2위 기록에 해당하는 기록으로 멜론 20만 이상 하트 2곡[13]을 보유 중이다.
<LOVE DIVE>와 <ELEVEN>이 2022년 멜론 연간차트와 써클 연간차트에 각각 1위와 6위에 랭크되면서 한 해 연간 TOP 10에 2곡을 올리는 기록을 세웠다.
정규 1집 《I've IVE》는 초동 110만장을 기록, 스타쉽엔터테인먼트 최초의 초동 밀리언셀러를 기록한 그룹이 되었다.
정규 1집 《I've IVE》 타이틀곡 <I AM>은 활동 첫 주에 순위제를 실시하는 모든 음악 방송에서 1위를 수상하면서 그랜드 슬램을 달성하였다.[14]
2023년 6월 1일 기준, 통산 16주 1위로 역대 써클차트 누적 1위 주간 4위에 랭크되어있다.[15]",540
아이브 관련 여담1,"스타쉽엔터테인먼트의 2호 걸그룹 우주소녀 이후로 약 5년 9개월 만에 출범하는 걸그룹이자, 3호 보이그룹 CRAVITY 이후 1년 7개월 만에 선보인 아이돌 그룹이다.
장원영이 2019년 4월 12일[16], 이서가 2021년 12월 17일[17], 각각 지상파 음악 방송 1위를 기록하며 IVE는 대한민국 걸그룹 지상파 음악 방송 1위 최연소, 차연소 기록을 갖고 있는 전무후무한 걸그룹이 되었다.
IVE라는 그룹명은 회사 공모를 통해 정해졌다. 멤버들이 어떤 이름이 될지 기대하면서 기다리고 있었는데, 팀장님이 너무나 덤덤하게 “너희 팀 이름은 IVE야.”라고 말하는 바람에 많이 웃었던 에피소드가 있다. #",342
아이브 관련 여담2,"팀이 결성된 후 피프스 하모니의 That's my girl을 첫 곡으로 다 함께 연습했다.[18] 이 노래는 데뷔한 후 1theK Originals에서 다시 커버했다. #
프로듀스 48 참가 후 IZ*ONE으로 활동했던 안유진과 장원영을 제외한 나머지 멤버들은 스타쉽의 연습생 SNS 계정인 STARSHIPZ에 공개된 적이 없었다.[19]
데뷔일[20] 기준으로는 모두 10대였고 가을을 제외한 전부가 미성년자였으며, 평균 나이는 만 17세로 연령대가 어린 편이었다. 2022년 리더인 유진이 성인이 되었고, 2023년에는 04년생 3인이 성인이 되면서 막내 이서를 제외한 모두가 성인 멤버가 되었고 막내 이서도 고등학생이 되어 모두 고등학생 이상이 되었다.",368
아이브 관련 여담3,"스타쉽엔터테인먼트 소속 아티스트들 중 처음으로 21세기 시작 이후 출생한 구성원들로만 결성된 그룹이다. 2002~2007년생으로, 초등학교 저학년때 2000년대를 겪었던 2002년생 가을을 제외하면 전부 2000년대에 학창시절을 보내기 전이라 2000년대의 문화를 잘 모르는 경향이 있다.[21] 특히 이서의 경우 데뷔 당시 최연소 아이돌이라는 타이틀로 주목을 받았던 탓에, 여러 매체에서 그룹 자체가 상당히 어린 나이로 주목받았던 편이었다. 이를 반증하듯 멤버 전원이 2002 한·일 월드컵 개최 이후에 태어났으며[22] 1theK 특집 <우리가 사랑한 노래> 비하인드에서는 원영과 이서가 슬라이드폰을 열 줄 모른다든가, 애니콜 슬림폴더 HSDPA(일명 고아라폰)을 쓸 줄 모르는 듯한 모양새를 보여 화제가 된 적 있다. 캔모아를 흉내 낸 배경으로 한 다만세 촬영 때도 이 둘은 캔모아를 들어 본 적 없다는 듯 한 모습을 보였으며, 이서는 마시마로를 몰라서 마시멜로라고 하기도 했다.[23] 특히 맏언니인 가을과 동생 멤버들과는 어느 정도 차이가 나는 모습을 보이는데, 대표적으로 가을은 한 라디오 프로그램에서 이서가 드림 하이(2011년)와 꽃보다 남자(2009년)를 모르는 것을 보고[24] 세대 차이를 느꼈다고 말한 적이 있고, 우사노 촬영 때도 원영과 이서가 캔모아를 모르자 직접 설명해 주었다.[25] 하지만 가을 본인은 몇 가지를 제외하고는 이서와 크게 세대 차이를 못 느낀다고 밝힌 적도 있다.",732
아이브 관련 여담4,"이러한 모습은 2022년 4월 7일 공개된 시즌비시즌에서 또 한 번 보여졌다. # 통칭 에코세대[26]에 해당되는 40세 비와 그보다 2세대 뒤인 Z세대[27]에 해당되는 IVE 멤버들, 특히 거기서도 한 세대 뒤인 알파세대와도 공유 요소가 있는 이서와 세대 차이가 두드러지는 모습을 보였다. 절정은 가로본능 핸드폰이 소재로 나왔을 때인데, 멤버들 모두가 뭔지 모르는 듯한 모습을 보였다.
소속사 선배 걸그룹이었던 씨스타와 우주소녀의 전례를 따라 최연장자가 아닌 둘째가 리더인 걸그룹이 되었다.[29]
갓 데뷔한 아이돌 그룹 내에 지상파 음악 방송 MC를 맡고 있는 멤버가 무려 2명이나 있는 보기 드문 상황이 펼쳐졌었다.[30] 현재는 2명 모두 음악방송 MC에서 하차하였다.",379
아이브 관련 여담5,"멤버들의 스타쉽엔터테인먼트 입사 순서는 안유진(2016년) - 가을&장원영(2017년) - 레이(2018년) - 리즈&이서(2019년) 순이다.
스타쉽엔터테인먼트 소속 걸그룹 중 최초로 일본인 멤버가 소속된 그룹이자 하반기에 데뷔한 그룹이다.[31]
멤버들 중 다수가 아메리카노를 좋아한다. #
멤버들이 만장일치로 좋아하는 음식은 소고기. #
멤버들 중 장원영과 이서를 제외한 나머지 멤버들의 MBTI가 내향형(I)이다.
멤버들 중 절반이 2004년생이며, 2살 많은 멤버 1명, 1살 많은 멤버 1명, 3살 어린 멤버 1명이 있으므로 이 팀의 평균 연령은 항상 2004년생 멤버들의 나이와 일치하게 된다.
일명 Z세대를 대표하는 걸그룹으로 뽑히고 있다. 평균 연령은 어리지만, 평균 신장(169.2cm)은 대단히 높아서 상당히 강한 포스를 뿜어낸다.
그룹명의 일본어 가타카나 표기는 'アイブ'가 아닌 'アイヴ'[32]이다.",461
아이브 관련 여담6,"멤버들이 전부 기본적으로 시 단위 이상의 출신지에서 태어났는데 레이는 아난, 리즈는 제주, 가을은 인천광역시, 안유진은 대전광역시, 장원영과 이서는 서울특별시 출신이다.
IZ*ONE 활동이 끝난 후, IZ*ONE 출신 멤버를 포함해 새로 데뷔를 한 최초의 그룹이다.[33]
데뷔 쇼케이스 날 까치 한 마리가 스타쉽 김시대 대표의 차 위에 올라가 아무리 쫓아내도 꿈쩍도 하지 않았다고 한다.# 이후 LOVE DIVE로 컴백했을 때도 김시대 대표가 '까치가 자기 눈 앞에 날아와 앉았다'고 사진을 보내왔다고 한다. #
파이팅 구호는 시작 전 ""아이팅!""[34], 끝난 후 ""아~이(브)!""라 외치고 해산하는 것이다.[35]
데뷔 때부터 I've IVE 활동 전까지는 큰 평수의 숙소에서 6명이 다 함께 살았었다.[36] #1 #2 2023년 4월 15일 방송된 아는 형님에서 이사 소식을 알렸는데, 3명씩[37] 두 채로 나누어 전원 각방이라고 한다. # 안유진이 뿅뿅 지구오락실 2에서 언급한 것을 보아 과거 숙소는 성수동에 위치했던 것으로 보인다.[38]",534
아이브 관련 여담7,"숙소 규칙은 빨래 제때 가져가기와 냉장고 유통기한 음식 본인 건 본인이 버리기 등이 있지만, 잘 지켜지지는 않는다고 한다. 하지만 서로를 이해하고 사랑하며 융통성 있는 그룹이기 때문에 싸운 적은 없다고. #
멤버들이 과일을 좋아해 숙소 냉장고에 과일을 항상 채워 놓는다. 그 중에서 가장 인기가 많은 과일은 2021년 12월 샤인머스캣, 2022년 1월 딸기 등으로 철마다 과일이 조금씩 바뀐다. 과일 외엔 우유가 많다. #
민트초코의 경우 가을, 리즈[39]가 반민초파이고, 안유진[40], 레이, 장원영[41], 이서가 민초파라고 한다.
멤버들의 공식색이 빨간색, 주황색, 초록색, 파란색, 남색, 보라색으로 무지개 7색 중에서 노란색만 빠져 있어서 그 이유를 궁금해하는 팬들이 많다. 일부에서는 새로운 멤버가 추가되는 것이냐는 추측도 하고 있지만, 아직 이와 관련된 설명은 없다. 그러나 <After Like> 활동 기점으로 상징이 남색인 가을과 빨강인 장원영을 제외한 멤버들(안유진: 마젠타, 레이: 초록, 리즈: 시안, 이서: 옐로우)의 색이 바뀌었다.[42]",542
아이브 관련 여담8,"외동인 멤버가 단 한 명도 없다. 안유진, 장원영, 레이는 언니가 있고, 가을은 오빠, 리즈는 남동생, 이서는 여동생이 있다. 모든 멤버가 형제 관계가 1명뿐인 것도 특징.
데뷔월 기준 팀 내 유행어는 ""너무나도"", ""꽤나"", ""오히려 좋아"" 등 이다.
프리스틴[43], 구구단, 다이아[44]로 대표되는, 장기간 방치 후 해체의 징크스가 있었던 엠넷의 프로듀스 101 시리즈 데뷔조 파생 걸그룹 징크스를 끊어낸 걸그룹이기도 하다. 무엇보다 다른 프로듀스 파생 걸그룹들과 달리 데뷔조에 속했던 멤버들의 인지도만 높지 않고[45], 모든 멤버들의 인지도가 골고루 높다는 것이 상기 타 그룹들과 비교되는 특징이다.[46]
2021년 12월 20일, IVE의 공식 UNIVERSE 채널이 오픈되었다.
현재까지 안유진과 장원영을 제외한 다른 멤버들의 개인 SNS 계정은 없다. IZ*ONE 활동 종료 시점에 만든 것을 지금까지 사용하고 있으며[47] 나머지 멤버들은 아이브 공식 트위터에서 소통한다.[48]
공식 대형은 사진 왼쪽부터 리즈 - 레이 - 장원영 - 안유진 - 가을 - 이서였다. 정규 1집 활동부터 레이 - 가을 - 장원영 - 안유진 - 이서 - 리즈 순으로 바뀌었다. [49]",607
아이브 관련 여담9,"데뷔 당시에는 모든 멤버가 성씨를 제외한 본명 및 예명을 사용했으나, LOVE DIVE 활동을 기점으로 유진과 원영의 활동명이 성씨를 포함한 본명인 안유진, 장원영으로 변경되었다. 이 둘은 본명을 사용했던 IZ*ONE 시절부터 인지도가 높았기에 성씨를 포함한 본명으로 불리는 경우가 많아 풀네임으로 활동명 변경이 불가피했을 것이다.[50]
다인원 걸그룹이 아님에도 4가지의 혈액형이 모두 있다.
A형: 안유진, 레이
B형: 가을
AB형: 리즈
O형: 장원영, 이서
팀의 멤버 절반이 서울공연예술고등학교를 중퇴(안유진) 및 졸업(레이, 장원영)하였다.
2022년 9월 9일, 스타뉴스 창간 18주년을 맞아 진행된 대중음악계 영향력 있는 전문가 18인을 대상으로 '앞으로 활약이 가장 기대되는 4세대 아이돌'에서 걸그룹 부문 3위를 차지했다.
멤버 전원이 코로나19 확진 판정을 받은 적이 있다.[51]
2023년 잼버리 축제에서 멤버들이 데뷔 때와 비슷한 헤어스타일을 하고 나타났다.
팀 내 외동인 멤버는 없다. 유진, 레이, 원영은 언니가 있고 가을은 오빠가 있다. 팀 내에서 생년월일이 느린 리즈, 이서는 각각 남동생, 여동생이 있다.",580
